collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,phone,pred_speedMps,epoch_diff,target_latDeg,target_lngDeg,speedMps,error,dist_pre,dist_pro,latDeg_pre,lngDeg_pre,latDeg_pro,lngDeg_pro
2020-05-29-US-MTV-2,Pixel4XL,1274831962447,37.4135225,-122.0778537,-29.08,2020-05-29-US-MTV-2_Pixel4XL,0.0747562140088235,0,37.4134852097,-122.0778254622,0.02,4.835670458836984,1.557657658741486,1.300747572774843,37.4135095,-122.0778471,37.4135163,-122.0778412
2020-05-29-US-MTV-2,Pixel4,1274831963440,37.4135121,-122.0778682,-22.0,2020-05-29-US-MTV-2_Pixel4,0.6923758632778193,0,37.413486428,-122.077827194,0.56,4.608477531063682,1.09210532872206,1.0010992301822463,37.4135028,-122.0778642,37.4135211,-122.0778677
2020-05-29-US-MTV-2,Pixel4XL,1274831963447,37.4135163,-122.0778412,-25.02,2020-05-29-US-MTV-2_Pixel4XL,0.6782547786333134,0,37.4134856226,-122.0778277242,0.56,3.6105686171138847,1.300747572774843,2.4636439965163137,37.4135225,-122.0778537,37.413501,-122.0778614
2020-05-29-US-MTV-2,Pixel4,1274831964440,37.4135211,-122.0778677,-21.2,2020-05-29-US-MTV-2_Pixel4,2.781129373878154,0,37.4134905113,-122.077844624,2.88,3.962676078599702,1.0010992301822463,2.7167363242976936,37.4135121,-122.0778682,37.4135254,-122.077898
2020-05-29-US-MTV-2,Pixel4XL,1274831964447,37.413501,-122.0778614,-21.17,2020-05-29-US-MTV-2_Pixel4XL,2.783405388422725,0,37.4134897304,-122.0778452896,2.9,1.894812957599061,2.4636439965163137,3.070290510359501,37.4135163,-122.0778412,37.4134964,-122.0778957
2020-05-29-US-MTV-2,Pixel4,1274831965440,37.4135254,-122.077898,-22.91,2020-05-29-US-MTV-2_Pixel4,4.836240229691318,0,37.4135000423,-122.0778878857,4.9,2.9559072373523674,2.7167363242976936,7.23548440202901,37.4135211,-122.0778677,37.41355,-122.0779739
2020-05-29-US-MTV-2,Pixel4XL,1274831965447,37.4134964,-122.0778957,-17.13,2020-05-29-US-MTV-2_Pixel4XL,4.897936673571971,0,37.4134992909,-122.0778886667,4.91,0.6989814420571541,3.070290510359501,7.694503109091414,37.413501,-122.0778614,37.4135359,-122.0779673
2020-05-29-US-MTV-2,Pixel4,1274831966440,37.41355,-122.0779739,-22.11,2020-05-29-US-MTV-2_Pixel4,5.821856382405076,0,37.4135186053,-122.0779466483,6.09,4.237559953765499,7.23548440202901,5.324012818195859,37.4135254,-122.077898,37.413593,-122.0780005
2020-05-29-US-MTV-2,Pixel4XL,1274831966447,37.4135359,-122.0779673,-22.68,2020-05-29-US-MTV-2_Pixel4XL,5.946260712772263,0,37.4135180102,-122.0779476376,6.09,2.6389449501279554,7.694503109091414,6.480611310539454,37.4134964,-122.0778957,37.4135839,-122.078009
2020-05-29-US-MTV-2,Pixel4,1274831967440,37.413593,-122.0780005,-24.16,2020-05-29-US-MTV-2_Pixel4,6.7844428395483405,0,37.4135564813,-122.0780012603,6.73,4.058699491362424,5.324012818195859,6.441321289851371,37.41355,-122.0779739,37.4136436,-122.0780361
